Date,Open,High,Low,Close,Adj Close,Volume
2019-10-03,0.034902,0.041823,0.032422,0.039966,0.039966,12415
2019-10-04,0.039968,0.042238,0.031849,0.041983,0.041983,13960
2019-10-05,0.041905,0.042031,0.034085,0.035780,0.035780,13366
2019-10-06,0.035776,0.041290,0.031164,0.032631,0.032631,19610
2019-10-07,0.032587,0.037229,0.031299,0.034705,0.034705,33754
2019-10-08,0.034691,0.036073,0.031452,0.034796,0.034796,15815
2019-10-09,0.034796,0.037981,0.029474,0.036550,0.036550,13148
2019-10-10,0.035758,0.043365,0.031380,0.043357,0.043357,18517
2019-10-11,0.043357,0.043357,0.034359,0.036627,0.036627,17529
2019-10-12,0.036647,0.041080,0.035864,0.040215,0.040215,12045
2019-10-13,0.040215,0.040631,0.032478,0.036028,0.036028,14420
2019-10-14,0.036028,0.038786,0.032977,0.036450,0.036450,17738
2019-10-15,0.036452,0.038769,0.033288,0.033994,0.033994,10898
2019-10-16,0.033994,0.044201,0.033470,0.042774,0.042774,14464
2019-10-17,0.042781,0.045467,0.041158,0.042696,0.042696,9238
2019-10-18,0.042696,0.045554,0.040395,0.042520,0.042520,14227
2019-10-19,0.042513,0.044580,0.038669,0.044245,0.044245,14241
2019-10-20,0.044233,0.044788,0.039309,0.042138,0.042138,15065
2019-10-21,0.042144,0.045471,0.034903,0.038464,0.038464,18140
2019-10-22,0.038592,0.043194,0.035277,0.041924,0.041924,12135
2019-10-23,0.041925,0.046571,0.034805,0.041039,0.041039,14210
2019-10-24,0.041039,0.042699,0.037650,0.039132,0.039132,12557
2019-10-25,0.039134,0.050193,0.037890,0.048662,0.048662,14679
2019-10-26,0.048639,0.059052,0.043300,0.044019,0.044019,12587
2019-10-27,0.043506,0.052107,0.042609,0.049371,0.049371,18257
2019-10-28,0.049338,0.051979,0.046172,0.047361,0.047361,12772
2019-10-29,0.047370,0.052448,0.044504,0.052256,0.052256,13159
2019-10-30,0.052286,0.052286,0.043256,0.048873,0.048873,14516
2019-10-31,0.048864,0.049926,0.044460,0.046480,0.046480,15527
2019-11-01,0.046480,0.050412,0.044069,0.049543,0.049543,23344
2019-11-02,0.049524,0.050165,0.045591,0.048281,0.048281,18008
2019-11-03,0.048285,0.050578,0.045883,0.049132,0.049132,18185
2019-11-04,0.048745,0.050703,0.045922,0.050552,0.050552,12220
2019-11-05,0.050552,0.051091,0.045430,0.049311,0.049311,12483
2019-11-06,0.049310,0.052143,0.043589,0.046308,0.046308,11324
2019-11-07,0.046328,0.049261,0.046182,0.047852,0.047852,13912
2019-11-08,0.047971,0.048961,0.044855,0.045867,0.045867,19747
2019-11-09,0.045822,0.046936,0.041672,0.044196,0.044196,18393
2019-11-10,0.044203,0.047581,0.041996,0.046942,0.046942,13050
2019-11-11,0.046942,0.047016,0.040890,0.045426,0.045426,11234
2019-11-12,0.045428,0.045799,0.040728,0.042324,0.042324,13263
2019-11-13,0.042332,0.044642,0.040747,0.042259,0.042259,13690
2019-11-14,0.042259,0.043846,0.040263,0.043678,0.043678,16904
2019-11-15,0.043741,0.044250,0.039701,0.042743,0.042743,12881
2019-11-16,0.042476,0.043848,0.039647,0.041551,0.041551,13099
2019-11-17,0.041551,0.044282,0.040433,0.043534,0.043534,14662
2019-11-18,0.043546,0.044150,0.039920,0.040273,0.040273,17376
2019-11-19,0.040273,0.043224,0.034675,0.038197,0.038197,12388
2019-11-20,0.038197,0.041435,0.036891,0.039254,0.039254,13064
2019-11-21,0.039210,0.040870,0.029479,0.035283,0.035283,19963
2019-11-22,0.035276,0.039211,0.030060,0.038494,0.038494,12797
2019-11-23,0.038494,0.038784,0.032673,0.032794,0.032794,6992
2019-11-24,0.032794,0.038139,0.031765,0.033542,0.033542,13695
2019-11-25,0.033551,0.042975,0.032485,0.040808,0.040808,13248
2019-11-26,0.040808,0.043257,0.033877,0.040074,0.040074,10243
2019-11-27,0.039823,0.043813,0.035822,0.042288,0.042288,21047
2019-11-28,0.042288,0.045107,0.039085,0.043626,0.043626,14508
2019-11-29,0.043566,0.043946,0.036676,0.037495,0.037495,6465
2019-11-30,0.037487,0.046629,0.031768,0.044148,0.044148,5751
2019-12-01,0.044158,0.044158,0.034775,0.038290,0.038290,16122
2019-12-02,0.038288,0.043164,0.035983,0.040695,0.040695,14516
2019-12-03,0.040738,0.042393,0.036084,0.042273,0.042273,12205
2019-12-04,0.042270,0.042273,0.035472,0.040950,0.040950,11198
2019-12-05,0.040876,0.043521,0.036988,0.040754,0.040754,16082
2019-12-06,0.040752,0.043339,0.039272,0.043277,0.043277,16963
2019-12-07,0.043279,0.043683,0.039558,0.041415,0.041415,16289
2019-12-08,0.041415,0.042867,0.039809,0.042644,0.042644,9158
2019-12-09,0.042635,0.042822,0.036376,0.036417,0.036417,6586
2019-12-10,0.036409,0.042011,0.034835,0.037712,0.037712,5674
2019-12-11,0.037713,0.040087,0.034407,0.035645,0.035645,7646
2019-12-12,0.035645,0.040788,0.034364,0.038911,0.038911,4363
2019-12-13,0.038903,0.041095,0.035059,0.037852,0.037852,12373
2019-12-14,0.037853,0.038669,0.034790,0.037931,0.037931,11296
2019-12-15,0.037914,0.037914,0.033590,0.035985,0.035985,15725
2019-12-16,0.035986,0.036989,0.034047,0.036707,0.036707,7118
2019-12-17,0.036707,0.038187,0.035991,0.036350,0.036350,7453
2019-12-18,0.036350,0.041072,0.035773,0.040901,0.040901,8721
2019-12-19,0.040901,0.043509,0.039540,0.042220,0.042220,13645
2019-12-20,0.042220,0.042257,0.038622,0.039173,0.039173,8676
2019-12-21,0.039173,0.041627,0.035113,0.041087,0.041087,9364
2019-12-22,0.041088,0.041514,0.036470,0.040318,0.040318,12399
2019-12-23,0.040318,0.043110,0.037319,0.037794,0.037794,8556
2019-12-24,0.037804,0.040973,0.034918,0.039903,0.039903,12858
2019-12-25,0.039903,0.040012,0.036358,0.037879,0.037879,14576
2019-12-26,0.037879,0.042281,0.036127,0.038636,0.038636,15558
2019-12-27,0.038635,0.042227,0.037425,0.040960,0.040960,10961
2019-12-28,0.040972,0.042939,0.037526,0.040006,0.040006,10086
